@relation OPENJPA_1_TrainingSet.arff

@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute LOC_ADDED_AVG numeric
@attribute LOC_ADDED_MAX numeric
@attribute LOC_REMOVED numeric
@attribute LOC_REMOVED_AVG numeric
@attribute LOC_REMOVED_MAX numeric
@attribute CHURN numeric
@attribute CHURN_AVG numeric
@attribute CHURN_MAX numeric
@attribute LOC_TOUCHED numeric
@attribute LOC_TOUCHED_AVG numeric
@attribute LOC_TOUCHED_MAX numeric
@attribute NUMBER_OF_REVISIONS numeric
@attribute NUMBER_OF_DEFECT_FIXES numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'YES', 'NO'}

@data
278,281,93.66666666666667,281,3,1.0,3,284,94.66666666666667,281,284,94.66666666666667,281,3,0,1,NO
63,64,32.0,64,0,0.0,0,64,32.0,64,64,32.0,64,2,0,1,NO
143,143,71.5,143,0,0.0,0,143,71.5,143,143,71.5,143,2,0,1,NO
100,100,50.0,100,0,0.0,0,100,50.0,100,100,50.0,100,2,0,1,NO
684,686,228.66666666666666,683,2,0.6666666666666666,2,688,229.33333333333334,683,684,228.0,683,3,0,1,NO
82,82,41.0,82,0,0.0,0,82,41.0,82,82,41.0,82,2,0,1,NO
190,190,95.0,190,0,0.0,0,190,95.0,190,190,95.0,190,2,0,1,NO
184,184,92.0,184,0,0.0,0,184,92.0,184,184,92.0,184,2,0,1,NO
74,75,25.0,73,1,0.3333333333333333,1,76,25.333333333333332,73,74,24.666666666666668,73,3,0,1,NO
82,82,41.0,82,0,0.0,0,82,41.0,82,82,41.0,82,2,0,1,NO
39,39,19.5,39,0,0.0,0,39,19.5,39,39,19.5,39,2,0,1,NO
259,259,129.5,259,0,0.0,0,259,129.5,259,259,129.5,259,2,0,1,NO
39,39,19.5,39,0,0.0,0,39,19.5,39,39,19.5,39,2,0,1,NO
944,946,315.3333333333333,943,2,0.6666666666666666,2,948,316.0,943,944,314.6666666666667,943,3,0,1,NO
400,401,133.66666666666666,401,1,0.3333333333333333,1,402,134.0,401,402,134.0,401,3,0,1,NO
62,62,31.0,62,0,0.0,0,62,31.0,62,62,31.0,62,2,0,1,NO
78,78,39.0,78,0,0.0,0,78,39.0,78,78,39.0,78,2,0,1,NO
1523,1523,761.5,1523,0,0.0,0,1523,761.5,1523,1523,761.5,1523,2,0,1,NO
232,232,116.0,232,0,0.0,0,232,116.0,232,232,116.0,232,2,0,1,NO
206,209,69.66666666666667,209,3,1.0,3,212,70.66666666666667,209,212,70.66666666666667,209,3,0,1,NO
186,191,63.666666666666664,180,4,1.3333333333333333,4,195,65.0,180,187,62.333333333333336,180,3,0,2,NO
689,692,230.66666666666666,692,3,1.0,3,695,231.66666666666666,692,695,231.66666666666666,692,3,0,1,NO
493,493,246.5,493,0,0.0,0,493,246.5,493,493,246.5,493,2,0,1,NO
53,53,26.5,53,0,0.0,0,53,26.5,53,53,26.5,53,2,0,1,NO
602,604,201.33333333333334,601,2,0.6666666666666666,2,606,202.0,601,602,200.66666666666666,601,3,0,1,NO
442,444,148.0,444,2,0.6666666666666666,2,446,148.66666666666666,444,446,148.66666666666666,444,3,0,1,NO
95,95,47.5,95,0,0.0,0,95,47.5,95,95,47.5,95,2,0,1,NO
846,855,213.75,847,9,2.25,6,864,216.0,847,848,212.0,847,4,0,2,NO
151,151,75.5,151,0,0.0,0,151,75.5,151,151,75.5,151,2,0,1,NO
92,93,46.5,93,0,0.0,0,93,46.5,93,93,46.5,93,2,0,1,NO
42,42,21.0,42,0,0.0,0,42,21.0,42,42,21.0,42,2,0,1,NO
35,35,17.5,35,0,0.0,0,35,17.5,35,35,17.5,35,2,0,1,NO
144,144,72.0,144,0,0.0,0,144,72.0,144,144,72.0,144,2,0,1,NO
3729,3761,537.2857142857143,3721,32,4.571428571428571,10,3793,541.8571428571429,3721,3737,533.8571428571429,3721,7,0,2,NO
592,592,296.0,592,0,0.0,0,592,296.0,592,592,296.0,592,2,0,1,NO
93,93,46.5,93,0,0.0,0,93,46.5,93,93,46.5,93,2,0,1,NO
