RELEASE_ID,FILE_NAME,SIZE,LOC_ADDED,LOC_ADDED_AVG,LOC_ADDED_MAX,LOC_REMOVED,LOC_REMOVED_AVG,LOC_REMOVED_MAX,CHURN,CHURN_AVG,CHURN_MAX,NUMBER_OF_REVISIONS,NUMBER_OF_DEFECT_FIXES,NUMBER_OF_AUTHORS,IS_BUGGY
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingRepository.java,1179,1207,241.4,1135,28,5.6,24,1181,236.2,1135,5,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingStrategyInstaller.java,68,68,34.0,68,0,0.0,0,68,34.0,68,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingTool.java,1122,1206,172.28571428571428,1104,84,12.0,43,1138,162.57142857142858,1104,7,0,3,YES
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MetaDataPlusMappingFactory.java,139,139,69.5,139,0,0.0,0,139,69.5,139,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/NoneMappingDefaults.java,163,163,81.5,163,0,0.0,0,163,81.5,163,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/NoneStrategyInstaller.java,60,60,30.0,60,0,0.0,0,60,30.0,60,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/PropertiesReverseCustomizer.java,231,231,115.5,231,0,0.0,0,231,115.5,231,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/QueryResultMapping.java,606,608,202.66666666666666,608,2,0.6666666666666666,2,610,203.33333333333334,608,3,0,1,YES
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/RefreshStrategyInstaller.java,135,135,67.5,135,0,0.0,0,135,67.5,135,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/RelationId.java,34,35,17.5,35,0,0.0,0,35,17.5,35,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ReverseCustomizer.java,160,160,80.0,160,0,0.0,0,160,80.0,160,2,0,1,NO
